title,description,date,location_name,lat,lng,tags,is_fictional
Camp Lejeune Water Contamination,"Between the 1950s and 1987, drinking water at US Marine Corps Base Camp Lejeune in North Carolina was contaminated with toxic chemicals, including trichloroethylene and benzene, exposing nearly one million military personnel and their families. The Marine Corps and government agencies were slow to acknowledge the contamination and its health effects. The affected community waited decades for recognition and compensation.",1953–1987,"Camp Lejeune, North Carolina, USA",34.6827,-77.3619,"water,contamination,military,public-health,cover-up",false
Pacific Gas and Electric San Bruno Explosion,"On September 9, 2010, a gas transmission pipeline operated by Pacific Gas and Electric ruptured and exploded in a residential neighbourhood of San Bruno, California, killing eight people and destroying 38 homes. The NTSB found that the pipe had been improperly manufactured and that PG&E's records were inaccurate. PG&E was later convicted of federal safety violations.",September 9 2010,"San Bruno, California, USA",37.6305,-122.4113,"gas,pipeline,explosion,california,infrastructure",false
Aberfan Disaster,"On October 21, 1966, a colliery spoil tip above the Welsh village of Aberfan collapsed after heavy rain, engulfing a farm, a row of houses, and the local primary school, killing 144 people — 116 of them children. The National Coal Board had ignored warnings about the instability of the tip for years. The disaster remains one of the most traumatic industrial accidents in British history.",October 21 1966,"Aberfan, Wales, UK",51.6906,-3.3624,"mining,spoil-tip,collapse,wales,children",false
Courrières Mine Disaster,"On March 10, 1906, an explosion and fire in the Courrières coal mine in northern France killed 1,099 miners in Europe's worst mining disaster. The explosion was likely caused by coal dust ignition. The disaster and the subsequent slow and inadequate rescue operation triggered a general strike across the French mining industry.",March 10 1906,"Courrières, Pas-de-Calais, France",50.4583,2.9333,"mining,explosion,france,coal,industrial",false
Senghenydd Colliery Explosion,"On October 14, 1913, an explosion at the Universal Colliery in Senghenydd, Wales, killed 439 miners — the worst mining disaster in UK history. Coal dust and methane ignited following a spark, and the resulting explosion and afterdamp killed nearly everyone underground. The mine owner was later fined £24, a figure widely cited as emblematic of the era's disregard for miners' lives.",October 14 1913,"Senghenydd, Wales, UK",51.6229,-3.2875,"mining,explosion,wales,coal,industrial",false
Hawk Air Flight 670,"On January 21, 2004, Air Transat Flight 961, a charter jet, experienced an emergency when an engine cowling separated, damaging the fuselage. All 270 passengers survived after an emergency landing. Though not a fatal crash, the incident revealed serious maintenance procedure failures and problems with contractor oversight at the airline.",January 21 2004,"Cuba",21.5218,-79.4630,"aviation,maintenance,emergency,contractor",false
Buncefield Oil Depot Explosion,"On December 11, 2005, a series of explosions at the Buncefield oil storage depot in Hertfordshire, England, caused the largest peacetime explosion in Europe since World War II. No one was killed, but 43 people were injured and significant property damage occurred. The accident was caused by a fuel tank overfill, with multiple level gauges and high-level alarms having failed undetected.",December 11 2005,"Hemel Hempstead, Hertfordshire, UK",51.7360,-0.4280,"explosion,oil,storage,uk,industrial",false
Prestige Oil Spill,"On November 13, 2002, the oil tanker Prestige suffered a structural failure and began leaking heavy fuel oil off the coast of Galicia, Spain. Spanish and Portuguese authorities refused to allow the stricken vessel into port; six days later she broke in two and sank, ultimately releasing 77,000 tonnes of oil and devastating the region's fishing industry.",November 13 2002,"Galicia, Spain",42.1200,-9.5000,"oil,spill,tanker,spain,maritime",false
Bali Bombings,"On October 12, 2002, two bombs exploded in nightclub areas of Kuta, Bali, killing 202 people — the deadliest terrorist attack in Indonesian history. The bombings exposed significant gaps in Indonesian counterterrorism capacity and international intelligence sharing, and dramatically affected Bali's tourism economy.",October 12 2002,"Kuta, Bali, Indonesia",-8.7200,115.1700,"terrorism,bombing,indonesia,bali",false
Stava Dam Collapse,"On July 19, 1985, two upstream tailings dams at a fluorite mine in Stava, northern Italy, collapsed, releasing 180,000 cubic metres of liquid waste that destroyed the village of Stava and killed 268 people. The dams had been progressively heightened without adequate engineering review. The disaster is a landmark case in tailings dam safety and mining regulation.",July 19 1985,"Stava, Trentino, Italy",46.3830,11.5170,"dam,tailings,mining,collapse,italy",false
Lac-Mégantic Oil Train Derailment,"On July 6, 2013, an unattended crude oil train rolled downhill and derailed in the centre of Lac-Mégantic, Quebec, triggering explosions and fires that killed 47 people and destroyed much of the town. The train's brakes had been improperly set by a lone engineer who left it parked on a slope. The disaster exposed systemic failures in Transport Canada's oversight of short-line railways.",July 6 2013,"Lac-Mégantic, Quebec, Canada",45.5765,-70.8836,"rail,oil,derailment,canada,fire",false
Crystal City Apartment Collapse,"On February 15, 1981, the partially built L'Ambiance Plaza building in Bridgeport, Connecticut, collapsed during construction, killing 28 workers. The lift-slab construction method — where floors are poured at ground level and jacked up on columns — had been used without adequate safety measures. The disaster led to major changes in lift-slab construction regulations.",April 23 1987,"Bridgeport, Connecticut, USA",41.1865,-73.1952,"structural,construction,collapse,connecticut",false
Port Chicago Disaster,"On July 17, 1944, two ammunition ships exploded at the Port Chicago naval magazine in California, killing 320 military personnel in the worst homeland disaster of World War II. The explosion was followed by a mutiny among Black enlisted sailors ordered to resume loading ammunition under the same unsafe conditions. The 'Port Chicago 50' were court-martialled; their case became a catalyst for desegregation of the US military.",July 17 1944,"Port Chicago, California, USA",38.0560,-122.0450,"explosion,military,race,ammunition,maritime",false
Buenos Aires Train Crash,"On February 22, 2012, a commuter train failed to stop at the buffer at Once station in Buenos Aires and crashed into the platform, killing 51 people and injuring 789. The brakes had failed because of a poorly maintained system, and prior to the crash, there had been persistent reports of neglected maintenance throughout the Sarmiento commuter rail network.",February 22 2012,"Buenos Aires, Argentina",-34.6083,-58.4117,"rail,brakes,maintenance,argentina",false
Soma Mine Disaster,"On May 13, 2014, an explosion and fire in the Soma coal mine in western Turkey killed 301 miners — the worst industrial accident in Turkish history. The mine had a poor safety record and had been flagged for dangerous conditions. Parliamentary opposition calls for an investigation just weeks before the disaster were voted down by the ruling party.",May 13 2014,"Soma, Manisa, Turkey",39.1862,27.5982,"mining,explosion,turkey,coal,industrial",false
Deepwater Horizon Blowout,"On April 20, 2010, a well blowout on the Deepwater Horizon drilling rig in the Gulf of Mexico triggered explosions that killed 11 workers and sank the rig, beginning a 87-day oil spill that released approximately 4.9 million barrels of oil — the largest accidental marine oil spill in history. Multiple safety barriers failed in sequence, and BP had overridden safety recommendations.",April 20 2010,"Gulf of Mexico, USA",28.7366,-88.3666,"oil,blowout,offshore,bp,environment",false
Twister,"Twister follows a group of storm chasers in Oklahoma attempting to deploy experimental tornado-sensing equipment. Although the science is dramatised, the film popularised interest in severe weather research and inspired a generation of meteorologists. The fictional tornadoes in the film far exceed real recorded events in size and behaviour.",1996,"Oklahoma, USA",35.4676,-97.5164,"tornado,weather,film,storm-chasing",true
The China Syndrome,"The China Syndrome, released just 12 days before the Three Mile Island accident, follows a journalist and cameraman who witness safety cover-ups at a nuclear power plant. The film depicts a loss-of-coolant accident and institutional suppression of safety concerns with striking accuracy. Its timing made it one of the most prescient fictional treatments of industrial disaster in cinema.",1979,"California, USA",34.0522,-118.2437,"nuclear,film,cover-up,safety",true
Chernobyl HBO Series,"The 2019 HBO/Sky miniseries dramatises the Chernobyl nuclear disaster and its aftermath with unusual attention to technical and political accuracy. While some characters are composites and scenes are dramatised, the series draws extensively on testimony and official records. Its portrayal of Soviet institutional culture and the suppression of truth under pressure has been widely praised by historians.",2019,"Chernobyl, Ukraine",51.3890,30.0993,"nuclear,film,soviet,miniseries",true
Deepwater (The Film),"Deepwater Horizon (2016) dramatises the events of April 20, 2010 aboard the Deepwater Horizon oil rig. Based on a New York Times investigation, the film closely follows the accounts of surviving crew members and depicts the sequence of equipment failures and management decisions that preceded the blowout. It is considered one of the more technically accurate disaster films.",2016,"Gulf of Mexico, USA",28.7366,-88.3666,"oil,film,offshore,bp",true
